UNITID,OPEID,OPEID6,INSTNM,CITY,STABBR,PrivPub,UGDStudents,CostBeforeAid,6yrGradRate,Retention,MDEarnings8yr,InstructionWagesPerStudent,AcadmicSupportWagesPerStudent,ServicesAuxWagesPerStudent,PCTFacWhite,PCTFacNotWhite,PCTFacTwoMoreRace/Ethnic,PCTFacRace/EthnicUnk,PCTFacNRA,PCTFacMale,PCTFacFemale,InstrPerStu,PCTFTStaff,PCTFTTenured,PCTFTTenureTrk,PCTFTNotTenure,PCTProf,PCTAssoProf,PCTAssisProf,PCTInstructors,PCTLecturers,PCTNoRank
100654,100200,1002,Alabama A & M University,Normal,AL,1,5090,23445,0.2866,0.5403,34422,3870.136356,692.0709386,1568.31387,0.157024793,0.768595041,0.005509642,0.002754821,0.066115702,0.493112948,0.506887052,0.073084479,0.696969697,0.244623656,0.129032258,0.282258065,0.212244898,0.187755102,0.383673469,0.163265306,0,0.085714286
100663,105200,1052,University of Alabama at Birmingham,Birmingham,AL,1,13549,25542,0.6117,0.864,44053,8901.136595,5647.838718,1686.947835,0.703515889,0.236308316,0.006423259,0.000676133,0.053076403,0.547667343,0.452332657,0.218318695,0.860040568,0.30290737,0.172751859,0.384381339,0.251521298,0.234956051,0.300878972,0.072684246,0,0
100706,105500,1055,University of Alabama in Huntsville,Huntsville,AL,1,7825,24861,0.5714,0.818,48947,4470.59676,678.2930293,1027.534253,0.732342007,0.213754647,0.001858736,0.014869888,0.037174721,0.524163569,0.475836431,0.068753994,0.656133829,0.295539033,0.126394052,0.234200743,0.139405204,0.180297398,0.17472119,0.026022305,0.135687732,0
100724,100500,1005,Alabama State University,Montgomery,AL,1,3603,21892,0.3177,0.6202,30193,5720.889244,1154.693517,2305.365422,0.178571429,0.74702381,0,0.074404762,0,0.5,0.5,0.094643353,0.657738095,0.296187683,0.187683284,0.152492669,0.177710843,0.171686747,0.189759036,0.114457831,0,0.012048193
100751,105100,1051,The University of Alabama,Tuscaloosa,AL,1,30610,30016,0.7214,0.8723,47786,5379.781897,1339.369107,2522.44593,0.768882175,0.175730111,0.006545821,0.013091641,0.035750252,0.519637462,0.480362538,0.064880758,0.763846928,0.309164149,0.193353474,0.261329305,0.16163142,0.197381672,0.238670695,0.163141994,0.003021148,0
100812,100800,1008,Athens State University,Athens,AL,1,2629,,,,41117,4444.195326,736.478549,809.7492152,0.801169591,0.192982456,0,0,0.005847953,0.403508772,0.596491228,0.065043743,0.49122807,0.333333333,0.140350877,0.01754386,0.152046784,0.140350877,0.18128655,0.01754386,0,0
100830,831000,8310,Auburn University at Montgomery,Montgomery,AL,1,4301,20225,0.304,0.6972,37310,4349.274367,610.5677283,1106.060437,0.711180124,0.201863354,0,0.043478261,0.043478261,0.468944099,0.531055901,0.078818879,0.698757764,0.336283186,0.147492625,0.156342183,0.162420382,0.210191083,0.194267516,0.003184713,0.121019108,0.025477707
100858,100900,1009,Auburn University,Auburn,AL,1,24368,32196,0.787,0.9197,53699,4519.381918,2842.718125,2507.263754,0.739182692,0.197716346,0.014423077,0.004807692,0.043870192,0.584134615,0.415865385,0.080064018,0.858173077,0.364428498,0.17990774,0.214249103,0.236321304,0.22467986,0.219441211,0.043073341,0.099534342,0.00814901
100937,101200,1012,Birmingham-Southern College,Birmingham,AL,2,1129,32514,0.7094,0.7952,48459,8018.074402,598.9822852,4080.686448,0.896,0.08,0.008,0.016,0,0.52,0.48,0.110717449,0.816,0.48,0.176,0.16,0.304,0.184,0.208,0.016,0.104,0
101116,1303906,13039,South University-Montgomery,Montgomery,AL,3,289,28761,0.1429,0.6,29995,0,0,0,0.446153846,0.323076923,0,0.230769231,0,0.369230769,0.630769231,0.224913495,0.061538462,0,0,0.061538462,0,0,0,0.061538462,0,0
101189,100300,1003,Faulkner University,Montgomery,AL,2,1834,34835,0.2711,0.6047,35681,3770.84566,393.540358,1177.409321,0.885714286,0.106122449,0.004081633,0,0.004081633,0.579591837,0.420408163,0.133587786,0.497959184,0.183673469,0.191836735,0.12244898,0.155102041,0.097959184,0.126530612,0.012244898,0.102040816,0.004081633
101435,101900,1019,Huntingdon College,Montgomery,AL,2,917,37483,0.4185,0.6992,43245,4142.548913,1377.926087,3640.768478,0.76056338,0.070422535,0,0.169014085,0,0.507042254,0.492957746,0.07742639,0.732394366,0.295774648,0.225352113,0.211267606,0.253521127,0.098591549,0.281690141,0.098591549,0,0
101480,102000,1020,Jacksonville State University,Jacksonville,AL,1,6776,21560,0.4551,0.7338,36623,3989.647543,531.6342282,1163.638342,0.847533632,0.105381166,0,0.015695067,0.031390135,0.448430493,0.551569507,0.065820543,0.780269058,0.311659193,0.33632287,0.132286996,0.206278027,0.147982063,0.237668161,0.188340807,0,0
101587,102400,1024,University of West Alabama,Livingston,AL,1,2247,22645,0.4011,0.625,34848,2657.070457,323.3566446,692.249564,0.784615385,0.196153846,0,0.007692308,0.011538462,0.403846154,0.596153846,0.122385403,0.438461538,0.2,0.083636364,0.130909091,0.1,0.123076923,0.126923077,0.073076923,0.015384615,0
101675,102800,1028,Miles College,Fairfield,AL,2,1438,22684,0.2351,0.5526,27631,2495.107639,852.2715278,2766.817361,0.127272727,0.836363636,0,0.036363636,0,0.436363636,0.563636364,0.076495132,0.754545455,0.063636364,0.690909091,0,0.1,0.045454545,0.136363636,0.472727273,0,0
101693,102900,1029,University of Mobile,Mobile,AL,2,1164,36890,0.489,0.782,37521,2673.383433,125.3154762,1094.308036,0.87037037,0.111111111,0,0,0.018518519,0.407407407,0.592592593,0.139175258,0.419753086,0.043209877,0.339506173,0.037037037,0.176470588,0.338235294,0.397058824,0.088235294,0,0
101709,100400,1004,University of Montevallo,Montevallo,AL,1,2186,26018,0.5415,0.7842,34020,5998.978846,1404.218846,2518.585769,0.871681416,0.123893805,0,0,0.004424779,0.446902655,0.553097345,0.103385178,0.628318584,0.42920354,0.132743363,0.066371681,0.185840708,0.238938053,0.14159292,0.061946903,0,0
101879,101600,1016,University of North Alabama,Florence,AL,1,5411,21502,0.4995,0.7733,35625,4170.036483,409.7828345,1187.391912,0.822429907,0.11682243,0.01635514,0.021028037,0.023364486,0.469626168,0.530373832,0.079098133,0.635514019,0.33411215,0.172897196,0.128504673,0.186915888,0.158878505,0.16588785,0,0.123831776,0
101912,103300,1033,Oakwood University,Huntsville,AL,2,1320,37764,0.5,0.7425,33465,5965.256186,1377.558224,1801.882824,0.069444444,0.875,0.006944444,0.006944444,0.041666667,0.527777778,0.472222222,0.112878788,0.729166667,0.053691275,0.33557047,0.33557047,0.100671141,0.261744966,0.315436242,0,0,0.026845638
102049,103600,1036,Samford University,Birmingham,AL,2,3573,49634,0.772,0.8711,46732,8979.280852,900.583697,2025.459068,0.85115304,0.117400419,0.008385744,0.01048218,0.012578616,0.475890985,0.524109015,0.133501259,0.758909853,0.377358491,0.186582809,0.194968553,0.368852459,0.210382514,0.341530055,0.068306011,0,0
102094,105700,1057,University of South Alabama,Mobile,AL,1,8787,21694,0.4491,0.7644,40229,3961.965692,992.6181102,1656.214848,0.820600858,0.160515021,0.007725322,0.011158798,0,0.453218884,0.546781116,0.132582224,0.687553648,0.217167382,0.105579399,0.364806867,0.139914163,0.1527897,0.290128755,0.103862661,0.000858369,0
102234,104100,1041,Spring Hill College,Mobile,AL,2,1058,55844,0.5691,0.8116,43725,5867.535684,1065.367758,2462.957179,0.912280702,0.078947368,0,0,0.00877193,0.49122807,0.50877193,0.107750473,0.675438596,0.368421053,0.175438596,0.131578947,0.114035088,0.298245614,0.210526316,0.052631579,0,0
